Family	!	Scientific Name	Author	Reference	Date
"Fabaceae"	"!"	"Ramirezella strobilophora"	"(B.L. Rob. ex Pringle) Rose"	"Contr. U.S. Natl. Herb. 8(1): 44"	"1903"
"Rubiaceae"	""	"Randia"	"L."	"Sp. Pl. 2: 1192"	"1753"
"Rubiaceae"	""	"Randia aculeata"	"L."	"Sp. Pl. 2: 1192"	"1753"
"Rubiaceae"	""	"Randia armata"	"(Sw.) DC."	"Prodr. 4: 387"	"1830"
"Rubiaceae"	""	"Randia chiapensis"	"Standl."	"Contr. U.S. Natl. Herb. 23(5): 1377"	"1926"
"Rubiaceae"	""	"Randia grandifolia"	"(Donn. Sm.) Standl."	"J. Wash. Acad. Sci. 18(6): 166"	"1928"
"Rubiaceae"	""	"Randia monantha"	"Benth."	"Pl. Hartw. 84"	"1841"
"Rubiaceae"	""	"Randia pittieri"	"(Standl.) Standl."	"Contr. U.S. Natl. Herb. 20(6): 201"	"1919"
"Rubiaceae"	""	"Randia thurberi"	"S. Watson"	"Proc. Amer. Acad. Arts 24: 53"	"1889"
"Ranunculaceae"	"!"	"Ranunculus dichotomus"	"Moc. & Sessé ex DC."	"Syst. Nat. 1: 288"	"1818 [1817]"
"Apocynaceae"	""	"Rauvolfia"	"L."	"Sp. Pl. 1: 208"	"1753"
"Apocynaceae"	"!"	"Rauvolfia ligustrina"	"Willd. ex Roem. & Schult."	"Syst. Veg. (ed. 15 bis) 4: 805"	"1819"
"Apocynaceae"	"!"	"Rauvolfia tetraphylla"	"L."	"Sp. Pl. 1: 208"	"1753"
"Verbenaceae"	""	"Rehdera"	"Moldenke"	"Repert. Spec. Nov. Regni Veg. 39(1006/1014): 48–50"	"1935"
"Verbenaceae"	""	"Rehdera trinervis"	"(S.F. Blake) Moldenke"	"Repert. Spec. Nov. Regni Veg. 39(1006/1014): 52–54, f. 196"	"1935"
"Zingiberaceae"	""	"Renealmia alpinia"	"(Rottb.) Maas"	"Acta Bot. Neerl. 24(5–6): 474"	"1975 [1976]"
"Zingiberaceae"	""	"Renealmia cernua"	"(Sw. ex Roem. & Schult.) J.F. Macbr."	"Publ. Field Mus. Nat. Hist., Bot. Ser. 11(1): 14"	"1931"
"Zingiberaceae"	"!"	"Renealmia occidentalis"	"(Sw.) Sweet"	"Hort. Brit. (ed. 2) 493"	"1830"
"Zingiberaceae"	""	"Renealmia occidentalis var. occidentalis"	""	" "	""
"Zingiberaceae"	""	"Renealmia occidentalis var. pacifica"	"Maas"	"Acta Bot. Neerl. 24(5–6): 478"	"1975 [1976]"
"Zingiberaceae"	""	"Renealmia pacifica"	"(Maas) Maas & H. Maas"	"Notes Roy. Bot. Gard. Edinburgh 46(3): 318–320, f. 7"	"1990"
"Asteraceae"	""	"Rensonia"	"S.F. Blake"	"J. Wash. Acad. Sci. 13(8): 144–145"	"1923"
"Asteraceae"	""	"Rensonia salvadorica"	"S.F. Blake"	"J. Wash. Acad. Sci. 13(8): 145"	"1923"
"Orchidaceae"	""	"Restrepia"	"Kunth"	"Nov. Gen. Sp. (folio ed.) 1: 293"	"1815 [1816]"
"Orchidaceae"	""	"Restrepia muscifera"	"(Lindl.) Rchb. f. ex Lindl."	"Fol. Orchid. Restrepia (8): 2"	"1852-1855 [1859]"
"Orchidaceae"	""	"Restrepia xanthophthalma"	"Rchb. f."	"Hamburger Garten- Blumenzeitung 21: 300"	"1865"
"Orchidaceae"	""	"Restrepiella"	"Garay & Dunst."	"Venez. Orchid. Ill. 4: 266"	"1966"
"Orchidaceae"	""	"Restrepiella ophiocephala"	"(Lindl.) Garay & Dunst."	"Venez. Orchid. Ill. 4: 266"	"1966"
"Apocynaceae"	""	"Rhabdadenia biflora"	"(Jacq.) Müll. Arg."	"Fl. Bras. 6(1): 175"	"1860"
"Rhamnaceae"	""	"Rhamnus sharpii"	"M.C. Johnst. & L.A. Johnst."	"Fl. Neotrop. Monogr. 20: 74–77, f. 25"	"1978"
"Poaceae"	""	"Rhipidocladum"	"McClure"	"Smithsonian Contr. Bot. 9: 101, f. 42"	"1973"
