Family	!	Scientific Name	Author	Reference	Date
"Malpighiaceae"	"!"	"Tetrapterys"	"Cav."	"Diss. 9: 433"	"1790"
"Malpighiaceae"	""	"Tetrapterys acapulcensis"	"Kunth"	"Nov. Gen. Sp. (quarto ed.) 5: 168"	"1821 [1822]"
"Malpighiaceae"	""	"Tetrapterys arcana"	"C.V. Morton"	"Publ. Carnegie Inst. Wash. 461: 132"	"1936"
"Malpighiaceae"	""	"Tetrapterys discolor"	"(G. Mey.) DC."	"Prodr. 1: 587"	"1824"
"Malpighiaceae"	""	"Tetrapterys schiedeana"	"Schltdl. & Cham."	"Linnaea 5(2): 218"	"1830"
"Malpighiaceae"	""	"Tetrapterys seleriana"	"Nied."	"Bot. Jahrb. Syst. 36(Heft 3, Beibl. 80): 18"	"1905"
"Lamiaceae"	""	"Teucrium vesicarium"	"Mill."	"Gard. Dict. (ed. 8) no. 17"	"1768"
"Orchidaceae"	""	"Teuscheria"	"Garay"	"Amer. Orchid Soc. Bull. 27(12): 820"	"1958"
"Orchidaceae"	""	"Teuscheria pickiana"	"(Schltr.) Garay"	"Rhodora 61(722): 41–42"	"1959"
"Hydrocharitaceae"	""	"Thalassia testudinum"	"Banks & Sol. ex K.D. Koenig"	"Ann. Bot. (König & Sims) 2: 96"	"1805"
"Marantaceae"	""	"Thalia geniculata"	"L."	"Sp. Pl. 2: 1193"	"1753"
"Thelypteridaceae"	"!!"	"Thelypteris"	"Schmidel"	"Icon. Pl., ed. 2 (1793) 3: 45–48, pl. 11, 13"	"1763"
"Thelypteridaceae"	""	"Thelypteris angustifolia"	"(Willd.) Proctor"	"Bull. Inst. Jamaica, Sci. Ser. 5: 57"	"1953"
"Thelypteridaceae"	""	"Thelypteris atrovirens"	"(C. Chr.) C.F. Reed"	"Phytologia 17(4): 261"	"1968"
"Thelypteridaceae"	""	"Thelypteris balbisii"	"(Spreng.) Ching"	"Bull. Fan Mem. Inst. Biol., Bot. 10: 250"	"1941"
"Thelypteridaceae"	""	"Thelypteris biolleyi"	"(Christ) Proctor"	"Bull. Inst. Jamaica, Sci. Ser. 5: 58"	"1953"
"Thelypteridaceae"	""	"Thelypteris blanda"	"(Fée) C.F. Reed"	"Phytologia 17(4): 264"	"1968"
"Thelypteridaceae"	""	"Thelypteris concinna"	"(Willd.) Ching"	"Bull. Fan Mem. Inst. Biol., Bot. 10: 251"	"1941"
"Thelypteridaceae"	""	"Thelypteris decussata"	"(L.) Proctor"	"Bull. Inst. Jamaica, Sci. Ser. 5: 59"	"1953"
"Thelypteridaceae"	""	"Thelypteris falcata"	"(Liebm.) R.M. Tryon"	"Rhodora 69(777): 6"	"1967"
