Family	!	Scientific Name	Author	Reference	Date
"Malvaceae"	""	"Abutilon parvulum"	"A. Gray"	"Smithsonian Contr. Knowl. 3(5): 21"	"1852"
"Malvaceae"	""	"Abutilon pauciflorum"	"A. St.-Hil."	"Fl. Bras. Merid. (quarto ed.) 1(6): 206"	"1825 [1827]"
"Malvaceae"	""	"Abutilon permolle"	"(Willd.) Sweet"	"Hort. Brit. 1: 53"	"1826"
"Malvaceae"	""	"Abutilon purpusii"	"Standl."	"Contr. U.S. Natl. Herb. 23(3): 750"	"1923"
"Malvaceae"	""	"Abutilon reventum"	"S. Watson"	"Proc. Amer. Acad. Arts 21(2): 418"	"1886"
"Malvaceae"	"!"	"Abutilon trisulcatum"	"(Jacq.) Urb."	"Repert. Spec. Nov. Regni Veg. 16(444/447): 32"	"1919"
"Malvaceae"	""	"Abutilon wrightii"	"A. Gray"	"Boston J. Nat. Hist. 6(2): 162"	"1850"
"Fabaceae"	"!!"	"Acacia"	"Mill."	"Gard. Dict. Abr. (ed. 4) vol. 1"	"1754"
"Fabaceae"	"!"	"Acacia angustissima"	"(Mill.) Kuntze"	"Revis. Gen. Pl. 3(3): 47"	"1898"
"Fabaceae"	""	"Acacia villosa"	"(Sw.) Willd."	"Sp. Pl. 4(2): 1067–1068"	"1806"
"Fabaceae"	""	"Acaciella"	"Britton & Rose"	"N. Amer. Fl. 23(2): 96–106"	"1928"
"Fabaceae"	""	"Acaciella angustissima"	"(Mill.) Britton & Rose"	"N. Amer. Fl. 23(2): 100"	"1928"
"Rosaceae"	""	"Acaena"	"Mutis ex L."	"Mant. Pl. 2: 145, 200"	"1771"
"Rosaceae"	""	"Acaena pinnatifida"	"Ruiz & Pav."	"Fl. Peruv. 1: 68, pl. 104, f. b"	"1798"
"Euphorbiaceae"	""	"Acalypha"	"L."	"Sp. Pl. 2: 1003"	"1753"
"Euphorbiaceae"	"!"	"Acalypha alopecuroidea"	"Jacq."	"Collectanea 3: 196–197"	"1789 [1791]"
"Euphorbiaceae"	""	"Acalypha arvensis"	"Poepp."	"Nov. Gen. Sp. Pl. 3: 21"	"1845 [1841]"
"Euphorbiaceae"	""	"Acalypha berteroana"	"Müll. Arg."	"Linnaea 34: 33"	"1865"
"Euphorbiaceae"	""	"Acalypha bisetosa"	"Bertero ex Spreng."	"Syst. Veg. [Sprengel] 3: 879"	"1826"
"Euphorbiaceae"	""	"Acalypha californica"	"Benth."	"Bot. Voy. Sulphur 51–52"	"1844"
"Euphorbiaceae"	""	"Acalypha chamaedrifolia"	"(Lam.) Müll. Arg."	"Prodr. 15(2[2]): 879"	"1866"
"Euphorbiaceae"	"!"	"Acalypha cuspidata"	"Jacq."	"Pl. Hort. Schoenbr. 2: 63, pl. 243"	"1797"
"Euphorbiaceae"	""	"Acalypha deamii"	"(Weath.) H.E. Ahles"	"Vasc. Pl. Illinois 301"	"1955"
"Euphorbiaceae"	""	"Acalypha gracilens"	"A. Gray"	"Manual 408"	"1848"
"Euphorbiaceae"	""	"Acalypha monococca"	"(Engelm. ex A. Gray) Lill. W. Mill. & Gandhi"	"Sida 13(1): 123"	"1988"
"Euphorbiaceae"	""	"Acalypha monostachya"	"Cav."	"Anales Hist. Nat. 2(5): 138, pl. 21, f. 3"	"1800"
"Euphorbiaceae"	""	"Acalypha neomexicana"	"Müll. Arg."	"Linnaea 34(1): 19–20"	"1865"
"Euphorbiaceae"	""	"Acalypha ostryifolia"	"Riddell ex J.M. Coult."	"Mem. Torrey Bot. Club 5(14): 213"	"1894"
"Euphorbiaceae"	"!"	"Acalypha phleoides"	"Cav."	"Anales Hist. Nat. 2(5): 139–140"	"1800"
"Euphorbiaceae"	""	"Acalypha poiretii"	"Spreng."	"Syst. Veg. [Sprengel] 3: 879"	"1826"
"Euphorbiaceae"	""	"Acalypha radians"	"Torr."	"Rep. U.S. Mex. Bound. 2(1): 200"	"1859"
"Euphorbiaceae"	""	"Acalypha rhomboidea"	"Raf."	"New Fl. 1: 45"	"1836"
"Euphorbiaceae"	"!"	"Acalypha setosa"	"A. Rich."	"Hist. Fís. Cuba, Bot. 11: 204"	"1850"
"Euphorbiaceae"	"!"	"Acalypha villosa"	"Jacq."	"Enum. Syst. Pl. 32"	"1760"
"Euphorbiaceae"	"!!"	"Acalypha virginica"	"L."	"Sp. Pl. 2: 1003"	"1753"
"Asteraceae"	""	"Acamptopappus"	"(A. Gray) A. Gray"	"Proc. Amer. Acad. Arts 8: 634"	"1873"
"Asteraceae"	""	"Acamptopappus shockleyi"	"A. Gray"	"Proc. Amer. Acad. Arts 17: 208"	"1882"
"Asteraceae"	""	"Acamptopappus sphaerocephalus"	"(Harv. & A. Gray) A. Gray"	"Proc. Amer. Acad. Arts 8: 634"	"1873"
"Asteraceae"	""	"Acamptopappus sphaerocephalus var. hirtellus"	"S.F. Blake"	"J. Wash. Acad. Sci. 19(13): 270"	"1929"
"Asteraceae"	""	"Acamptopappus sphaerocephalus var. sphaerocephalus"	""	""	""
"Cactaceae"	""	"Acanthocalycium"	"Backeb."	"Kaktus-ABC 224, 412"	"1935"
"Cactaceae"	""	"Acanthocereus"	"(Engelm. ex A. Berger) Britton & Rose"	"Contr. U.S. Natl. Herb. 12(10): 432"	"1909"
"Cactaceae"	""	"Acanthocereus tetragonus"	"(L.) Hummelinck"	"Succulenta (Netherlands) 20(11): 165–170"	"1938"
