Family	!	Scientific Name	Author	Reference	Date
"Rosaceae"	""	"Agrimonia gryposepala"	"Wallr."	"Beitr. Bot. 1: 49–50, pl. 1, f. 8"	"1842"
"Rosaceae"	"!"	"Agrimonia parviflora"	"Aiton"	"Hort. Kew. 2: 130"	"1789"
"Rosaceae"	""	"Agrimonia pubescens"	"Wallr."	"Beitr. Bot. 1: 45–46, pl. 1, f. 7"	"1842"
"Rosaceae"	""	"Agrimonia striata"	"Michx."	"Fl. Bor.-Amer. 1: 287"	"1803"
"Poaceae"	""	"× Agroelymus adamsii"	"J. Rousseau"	"Mém. Jard. Bot. Montréal 29: 16"	"1952"
"Poaceae"	""	"× Agroelymus bowdenii"	"B. Boivin"	"Naturaliste Canad. 94(4): 520"	"1967"
"Poaceae"	""	"× Agroelymus cayouetteorum"	"B. Boivin"	"Naturaliste Canad. 94(4): 520"	"1967"
"Poaceae"	""	"× Agroelymus dorei"	"Bowden"	"Canad. J. Bot. 45: 715"	"1967"
"Poaceae"	""	"× Agroelymus jamesensis"	"Lepage"	"Naturaliste Canad. 79: 245"	"1952"
"Poaceae"	""	"× Agroelymus jamesensis nothovar. anticostensis"	"Lepage"	"Naturaliste Canad. 79: 247"	"1952"
"Poaceae"	""	"× Agroelymus mossii"	"Lepage"	"Naturaliste Canad. 92: 214"	"1965"
"Poaceae"	""	"× Agroelymus ontariensis"	"Lepage"	"Naturaliste Canad. 79: 254"	"1952"
"Poaceae"	""	"× Agroelymus piettei"	"Cugnac ex J. Rousseau"	"Mém. Jard. Bot. Montréal 29: 16"	"1952"
"Poaceae"	"!"	"× Agropogon"	"P. Fourn."	"Quatre Fl. France 50"	"1934"
"Poaceae"	"!"	"× Agropogon littoralis"	"(Sm.) C.E. Hubb."	"J. Ecol. 33: 333"	"1946"
"Poaceae"	"!"	"× Agropogon lutosus"	"(Poir.) P. Fourn."	"Monde Pl. 36(213): 20"	"1935"
"Poaceae"	""	"Agropyron"	"Gaertn."	"Novi Comment. Acad. Sci. Imp. Petrop. 14(1): 539"	"1770"
"Poaceae"	""	"Agropyron acadiense"	"F.T. Hubb."	"Rhodora 19(217): 15–17"	"1917"
"Poaceae"	""	"Agropyron bakeri"	"E.E. Nelson"	"Bot. Gaz. 38(5): 378"	"1904"
"Poaceae"	""	"Agropyron × bowdenii"	"B. Boivin"	"Phytologia 43(1): 105"	"1979"
"Poaceae"	""	"Agropyron caninum"	"(L.) P. Beauv."	"Ess. Agrostogr. 1: 102, 146"	"1812"
"Poaceae"	""	"Agropyron caninum fo. fernaldii"	"Pease & A.H. Moore"	"Rhodora 12(136): 73"	"1910"
"Poaceae"	"!"	"Agropyron caninum var. majus"	"Baumg."	"Enum. Stirp. Transsilv. 3: 268"	"1816"
"Poaceae"	""	"Agropyron caninum var. unilaterale"	"Vasey"	"Contr. U.S. Natl. Herb. 1(8): 279"	"1893"
"Poaceae"	"!"	"Agropyron cristatum"	"(L.) Gaertn."	"Novi Comment. Acad. Sci. Imp. Petrop. 14: 540"	"1770"
"Poaceae"	""	"Agropyron cristatum subsp. pectinatum"	"(M. Bieb.) Tzvelev"	"Spisok Rast. Gerb. Fl. SSSR 18: 25"	"1970"
"Poaceae"	"!"	"Agropyron dasystachyum"	"(Hook.) Scribn."	"Bull. Torrey Bot. Club 10(7): 78"	"1883"
"Poaceae"	""	"Agropyron desertorum"	"(Fisch. ex Link) Schult."	"Mant. 2: 412"	"1824"
"Poaceae"	"!"	"Agropyron fragile"	"(Roth) P. Candargy"	"Arch. Biol. Veg. Pure Appl. 1: 58"	"1901"
"Poaceae"	""	"Agropyron inerme"	"(Scribn. & J.G. Sm.) Rydb."	"Bull. Torrey Bot. Club 36: 539"	"1909"
